gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000234545,FAM133B,9,0.19892816505538258,4.463034364908187,0.625,0.3182850640886121,0.09041948321099795,8.120503829663119e-10,2.982669177139093e-4,Blast 2
ENSG00000105835,NAMPT,9,0.3792758848011291,9.64307287328029,0.7857142857142857,0.48271476247416434,0.2913337467780568,2.7739065556495863e-28,1.0188586517966487e-22,Blast 2
ENSG00000185291,IL3RA,9,0.45381817241894334,4.8657107757598155,0.6071428571428571,0.7474652251606126,0.3791787489642325,2.5962163997412362e-36,9.535928798413558e-31,Blast 2
ENSG00000130066,SAT1,9,0.2728625866668464,19.352933800560198,0.875,0.3118429561906816,0.16239310752948422,1.8300179044447462e-16,6.721674063204597e-11,Blast 2
ENSG00000164754,RAD21,9,0.21124906116027997,3.89032792733555,0.5178571428571429,0.4079292215508854,0.10017437783356058,1.0096582724141175e-10,3.7084849311597775e-5,Blast 2
ENSG00000106829,TLE4,9,0.26707512761584207,4.303325972880229,0.625,0.42732020418534733,0.17096302927483598,2.982169520812341e-17,1.0953538471638937e-11,Blast 2
ENSG00000134827,TCN1,9,0.48450131424533194,6.090040962411174,0.5,0.9690026284906639,0.41002736849855703,3.953820387661036e-39,1.4522421822082862e-33,Blast 2
ENSG00000167996,FTH1,9,0.4238743679492297,211.81517416901008,1,0.4238743679492297,0.4169923672856293,9.14177882617024e-40,3.3577845046311552e-34,Blast 2
ENSG00000251562,MALAT1,9,0.24623023352639772,705.8730088226692,1,0.24623023352639772,0.2649877652473605,7.1386558316836e-26,2.622035425633218e-20,Blast 2
ENSG00000172932,ANKRD13D,9,0.4482724245832155,8.379042279027718,0.7321428571428571,0.6122745311380504,0.34368233101456785,4.5427533420160546e-33,1.668557845275839e-27,Blast 2
ENSG00000023445,BIRC3,9,0.21801652621208947,3.976095079047265,0.4642857142857143,0.46957405645680805,0.12551029095691738,4.576224773660354e-13,1.6808519355902216e-7,Blast 2
ENSG00000122862,SRGN,9,0.2732035315252416,27.900605589204957,0.9464285714285714,0.28866788236629304,0.2155202149408489,2.425158402361122e-21,8.907631063456426e-16,Blast 2
ENSG00000132334,PTPRE,9,0.2629365626777948,3.8528527832409005,0.5357142857142857,0.4908149169985503,0.1700208840198412,3.640232329197915e-17,1.3370609747467232e-11,Blast 2
ENSG00000151651,ADAM8,9,0.2902905171438198,2.541000006957362,0.4642857142857143,0.6252411138482272,0.21502467637390968,2.6926060553305475e-21,9.889968967289654e-16,Blast 2
ENSG00000057704,TMCC3,9,0.3235642393956227,2.2443795272482148,0.42857142857142855,0.754983225256453,0.2630030814214303,1.0846025546224425e-25,3.9837560291537774e-20,Blast 2
ENSG00000132965,ALOX5AP,9,0.22094961987671113,2.758369760242902,0.42857142857142855,0.5155491130456593,0.12415847649482367,6.09987668003488e-13,2.2404908044534914e-7,Blast 2
ENSG00000186469,GNG2,9,0.20423381404379223,2.4740063956991816,0.4107142857142857,0.4972649385414072,0.12081755744421095,1.24133788795351e-12,4.559446475832122e-7,Blast 2
ENSG00000140287,HDC,9,0.5866312996015859,6.602020577055297,0.6071428571428571,0.966216258167318,0.5116144147142956,2.1074517670606106e-48,7.740691414931293e-43,Blast 2
ENSG00000172236,TPSAB1,9,0.22304953048194712,2.115686898927458,0.35714285714285715,0.6245386853494519,0.16476943238361505,1.1064287013426319e-16,4.0639236843185e-11,Blast 2
ENSG00000103257,SLC7A5,9,0.23544976069809645,3.1173945735767883,0.5178571428571429,0.45466160686528967,0.14661055132384807,5.187581824695816e-15,1.905403991792598e-9,Blast 2
ENSG00000183688,RFLNB,9,0.4951665114107248,11.70839010645001,0.8214285714285714,0.602811405195665,0.4417037896541095,5.0682973000152006e-42,1.8615906665928832e-36,Blast 2
ENSG00000184922,FMNL1,9,0.27319362444941203,4.883931378349787,0.6785714285714286,0.40260113076755455,0.18839173091097325,7.474252477153515e-19,2.745300409110963e-13,Blast 2
ENSG00000132475,H3F3B,9,0.2975936859249426,36.97804005475633,1,0.2975936859249426,0.35850586917983707,2.008420935021856e-34,7.376950178544628e-29,Blast 2
ENSG00000168461,RAB31,9,0.19909445542983692,2.316897507229076,0.32142857142857145,0.6194049724483814,0.1435489470979595,9.9306679695544e-15,3.647544275885301e-9,Blast 2
ENSG00000101109,STK4,9,0.2340200232970532,5.278137183435531,0.6428571428571429,0.36403114735097164,0.1360086680889035,4.919502396637168e-14,1.8069381497872285e-8,Blast 2
ENSG00000172216,CEBPB,9,0.2033010094607654,4.437484803937072,0.5714285714285714,0.3557767665563395,0.12769093930485742,2.8788195552717157e-13,1.0573933014708564e-7,Blast 2
ENSG00000197766,CFD,9,0.2527670669244808,8.174237716283107,0.6964285714285714,0.3629475832761776,0.18617660277527437,1.1938439969548802e-18,4.3850009392552446e-13,Blast 2
ENSG00000105205,CLC,9,0.5125338983189387,6.598525988161915,0.5357142857142857,0.9567299435286857,0.4390637544826188,8.828360600897032e-42,3.2426656770700805e-36,Blast 2
ENSG00000142227,EMP3,9,0.23055735431350086,7.726531816666992,0.7321428571428571,0.31490760589161093,0.10848102247481606,1.7165650539563106e-11,6.3049606088320684e-6,Blast 2
ENSG00000100368,CSF2RB,9,0.3538539735057647,2.9848385634026577,0.42857142857142855,0.825659271513451,0.2985591641516344,6.057008721020772e-29,2.2247453602396506e-23,Blast 2
ENSG00000155307,SAMSN1,9,0.4332753148439227,6.409462910527444,0.75,0.5777004197918969,0.3726273275205134,1.0298616194662508e-35,3.782692026915734e-30,Blast 2
ENSG00000028137,TNFRSF1B,10,0.3391319618095629,1.6277943654765503,0.616779089376054,0.5498434814848142,0.2379194305811914,2.630813662765887e-184,9.66300489147573e-179,Mono/Mac
